CompteurTemps	Temps	Cx0	Cy0	
1	0	-0.052284	5.30877e-05	
2	0.1	-0.0117815	-6.88398e-06	
3	0.2	-0.010497	-1.89144e-05	
4	0.3	-0.0102761	-3.15857e-05	
5	0.4	-0.0103475	-4.62689e-05	
6	0.5	-0.0101804	-9.48961e-05	
7	0.6	-0.010676	-8.46371e-05	
8	0.7	-0.0108356	-9.12813e-05	
9	0.8	-0.0109539	-9.3224e-05	
10	0.9	-0.0110378	-8.97289e-05	
11	1	-0.0110747	2.52126e-05	
12	1.1	-0.0111295	-3.77741e-05	
13	1.2	-0.011148	-3.07232e-05	
14	1.3	-0.0111544	-2.09987e-05	
15	1.4	-0.0111541	-1.22932e-05	
16	1.5	-0.0110544	3.54373e-05	
17	1.6	-0.0111266	2.95448e-05	
18	1.7	-0.0111224	3.47221e-05	
19	1.8	-0.0111166	3.67664e-05	
20	1.9	-0.0111112	3.5567e-05	
21	2	-0.0113609	5.83112e-05	
22	2.1	-0.0111266	2.41408e-05	
23	2.2	-0.0111142	9.7816e-06	
24	2.3	-0.0111087	-5.95488e-07	
25	2.4	-0.0111049	-7.38145e-06	
26	2.5	-0.0111028	-0.000201048	
27	2.6	-0.0111056	-8.02029e-05	
28	2.7	-0.0111065	-7.95331e-05	
29	2.8	-0.0111089	-7.67877e-05	
30	2.9	-0.0111108	-6.57298e-05	
31	3	-0.0103796	-0.000128562	
32	3.1	-0.0108466	-4.5546e-05	
33	3.2	-0.010833	-2.77032e-05	
34	3.3	-0.0108097	-1.58246e-05	
35	3.4	-0.0107885	-8.08912e-06	
36	3.5	-0.0110402	3.91404e-05	
37	3.6	-0.0108142	3.33711e-05	
38	3.7	-0.0107986	3.11137e-05	
39	3.8	-0.0107919	2.57858e-05	
40	3.9	-0.0107879	1.92417e-05	
41	4	-0.010972	0.000100297	
42	4.1	-0.0108464	4.19599e-05	
43	4.2	-0.0108474	3.97591e-05	
44	4.3	-0.0108522	3.73404e-05	
45	4.4	-0.0108564	3.4805e-05	
46	4.5	-0.0116786	0.000112553	
47	4.6	-0.0111098	9.36498e-05	
48	4.7	-0.0110985	9.6564e-05	
49	4.8	-0.011106	9.90852e-05	
50	4.9	-0.0111147	9.89501e-05	
51	5	-0.0113852	9.80718e-05	
52	5.1	-0.011157	0.000107824	
53	5.2	-0.0111521	0.000108466	
54	5.3	-0.0111561	0.000108762	
55	5.4	-0.0111597	0.000109132	
56	5.5	-0.0114326	0.000131797	
57	5.6	-0.0112086	0.000131455	
58	5.7	-0.0112027	0.000132897	
59	5.8	-0.0112026	0.000130696	
60	5.9	-0.0112025	0.000128295	
61	6	-0.0114409	5.73283e-05	
62	6.1	-0.0112707	0.000100751	
63	6.2	-0.0112603	0.000112319	
64	6.3	-0.0112571	0.000119302	
65	6.4	-0.0112552	0.000124907	
66	6.5	-0.0114468	0.000104212	
67	6.6	-0.0112693	0.000107802	
68	6.7	-0.0112552	0.000114238	
69	6.8	-0.01125	0.000121235	
70	6.9	-0.0112472	0.000128175	
71	7	-0.0113977	0.000104459	
72	7.1	-0.0112854	0.000136373	
73	7.2	-0.0112791	0.000152931	
74	7.3	-0.0112769	0.000167832	
75	7.4	-0.0112751	0.000182342	
76	7.5	-0.0112687	0.000253247	
77	7.6	-0.0112498	0.000226663	
78	7.7	-0.011249	0.000237871	
79	7.8	-0.0112481	0.000247445	
80	7.9	-0.0112479	0.000252842	
81	8	-0.0113046	0.000310266	
82	8.1	-0.0112447	0.000270657	
83	8.2	-0.0112408	0.000265608	
84	8.3	-0.0112389	0.000262322	
85	8.4	-0.0112378	0.000258835	
86	8.5	-0.0114086	0.00025132	
87	8.6	-0.0112656	0.000228616	
88	8.7	-0.01126	0.000218753	
89	8.8	-0.0112609	0.000212889	
90	8.9	-0.0112621	0.000209283	
91	9	-0.0114186	0.000305806	
92	9.1	-0.011268	0.000220315	
93	9.2	-0.0112585	0.000218407	
94	9.3	-0.0112587	0.000224147	
95	9.4	-0.01126	0.000231035	
96	9.5	-0.0114199	0.000195809	
97	9.6	-0.0112785	0.000213195	
98	9.7	-0.0112692	0.000223053	
99	9.8	-0.011266	0.000231117	
100	9.9	-0.0112641	0.000237428	
