CompteurTemps	Temps	Cx0	Cy0	
1	0	-178.8	0.00260488	
2	0.009	-2.74205	-0.199216	
3	0.018	-1.79968	-0.229521	
4	0.027	-1.51265	-0.260128	
5	0.036	-1.3376	-0.287297	
6	0.045	-1.18585	-0.135471	
7	0.054	-1.13454	-0.331316	
8	0.063	-1.06661	-0.354987	
9	0.072	-1.01327	-0.373571	
10	0.081	-0.970888	-0.390688	
11	0.09	-0.97082	-0.351387	
12	0.099	-0.907873	-0.424653	
13	0.108	-0.883423	-0.439955	
14	0.117	-0.864637	-0.453586	
15	0.126	-0.848285	-0.466501	
16	0.135	-0.809149	-0.462293	
17	0.144	-0.82742	-0.492281	
18	0.153	-0.819044	-0.503869	
19	0.162	-0.811717	-0.514583	
20	0.171	-0.805523	-0.525046	
21	0.18	-0.821098	-0.532456	
22	0.189	-0.797328	-0.548248	
23	0.198	-0.795096	-0.55793	
24	0.207	-0.794168	-0.566972	
25	0.216	-0.793643	-0.575667	
26	0.225	-0.800412	-0.555827	
27	0.234	-0.793428	-0.595284	
28	0.243	-0.795146	-0.603493	
29	0.252	-0.797622	-0.610984	
30	0.261	-0.800543	-0.617953	
31	0.27	-0.799798	-0.61738	
32	0.279	-0.806863	-0.634066	
33	0.288	-0.810518	-0.640382	
34	0.297	-0.814243	-0.646398	
35	0.306	-0.818536	-0.652153	
36	0.315	-0.835949	-0.655941	
37	0.324	-0.82733	-0.666822	
38	0.333	-0.832131	-0.672207	
39	0.342	-0.837595	-0.677385	
40	0.351	-0.843141	-0.682465	
41	0.36	-0.845772	-0.691362	
42	0.369	-0.850074	-0.695928	
43	0.378	-0.856211	-0.699769	
44	0.387	-0.862561	-0.704065	
45	0.396	-0.869067	-0.708351	
46	0.405	-0.869184	-0.709491	
47	0.414	-0.880697	-0.719684	
48	0.423	-0.88784	-0.724258	
49	0.432	-0.894943	-0.728355	
50	0.441	-0.902033	-0.732275	
51	0.45	-0.912018	-0.731185	
52	0.459	-0.916435	-0.742385	
53	0.468	-0.923543	-0.745803	
54	0.477	-0.930862	-0.749121	
55	0.486	-0.938207	-0.752366	
56	0.495	-0.92649	-0.753376	
57	0.504	-0.954791	-0.762875	
58	0.513	-0.961939	-0.765841	
59	0.522	-0.969029	-0.768718	
60	0.531	-0.976242	-0.771638	
61	0.54	-0.986781	-0.787257	
62	0.549	-0.989051	-0.779054	
63	0.558	-0.996252	-0.781499	
64	0.567	-1.00367	-0.784167	
65	0.576	-1.0111	-0.786855	
66	0.585	-1.03575	-0.798825	
67	0.594	-1.02345	-0.792776	
